pcode;poverty_incidence;flood_phys_exp;cyclone_phys_exp;earthquake7_phys_exp;tsunami_phys_exp;drought_phys_exp;good_governance_index;income_class;perc_wall_partly_concrete;perc_roof_concrete_alu_iron;pantawid_perc;nr_health_facilities;health_density;population;land_area;pop_density;traveltime;hdi;pcode_level2;risk_score;hazard_score;vulnerability_score;coping_capacity_score;pov_score;inc_score;hdi_score;wall_score;roof_score;pantawid_score;flood_score;cyclone_score;earthquake_score;tsunami_score;drought_score;travel_score;hospitals_score;governance_score;name
PH025000000;0.154;0.003;0.461;0.06;0;0.246;202.2;2.2;0.594;0.909;0.033;246;5.28425535113766;452287;4111.2;110.6;219.3;0.644;PH025000000;4.70738483402999;6.00332329599932;2.4052710411267;5.02733803724442;1.7881823295866897;2.45253566872362;3.168;3.833219144282695;1.0450992318477828;1.1612956119691793;3.3553653202959803;8.330413793682643;7.322260008033467;0;6.929545305642614;7.333617954054188;2.524641730343394;3.9109985348310428;Nueva Vizcaya
PH074600000;0.337;0;0.004;0;0;0.229;81.6;null;0.374;0.627;0.052;483;3.56458879922066;1354995;5102.9;265.9;156.6;0.522;PH074600000;4.10277634102614;2.37482279334204;4.4815182895027;5.13033825198616;3.9566218098448847;null;5.12;6.118838844055542;4.327450898798148;1.8154071198953023;0;1.7649816597033756;0;0;6.975433296878621;6.672379532463003;3.227663712858614;2.860454439852076;Negros Oriental
PH101300000;0.452;0.001;0.005;0.001;0;0.204;129;1.5;0.372;0.895;0.062;461;3.25743026202175;1415226;9251.5;153.1;235;0.44;PH101300000;4.42532680709746;3.35771168977616;4.13581782482374;5.52783554585588;5.3082291404278354;0.9749354520055454;6.432;6.142487419117441;1.2104739061845244;2.182869344333856;2.2350297895007203;3.993133805398986;0.8085492465318613;0;6.906572153997479;7.49788048795926;3.4246943798184946;3.112728116438915;Bukidnon
PH160300000;0.417;0.014;0.008;0.016;0;0.171;166.2;1.8;0.207;0.536;0.083;146;2.0837704255887;700653;8734.2;80.2;253.5;0.468;PH160300000;5.2903424107452;4.63187570438387;5.29279317177372;5.80364018564613;4.894485724758012;1.6984984007775603;5.984;7.85958915373904;5.392997475644402;2.93893027918443;4.447121986698124;4.38900649599537;4.4569580111462725;0;6.770806796533096;7.5080961494822915;4.574883602024135;3.3793803125952677;Agusan del Sur
PH112400000;0.21;0.003;0.012;0;0.003;0.221;41.2;1.1;0.474;0.797;0.025;488;1.89006557520544;2581921;6130.5;405.8;110.4;0.626;PH112400000;4.21042181100619;4.40915838347199;2.80397760707403;4.9729695082331;2.451981901123302;0.5023747821873713;3.456;5.083570312130752;0.9314190734951773;0.8681626292762877;3.620587344273934;5.412121636639619;0;3.893252665232809;6.926130971274391;5.219320292446366;3.9043601422075027;1.4793649664851052;Davao del Sur
PH043400000;0.064;0.003;0.235;0.011;0;0.258;190.6;1.3;0.859;0.982;0.015;421;1.41956702868436;2965693;1871.9;1588.1;22.7;0.721;PH043400000;3.70982723765545;5.39152656253511;1.02647051947293;3.99450713460812;0.722488743997065;1.1210526511004342;1.936;1.082502533846284;0.20070617515684908;0.5246295948034434;3.7198475507594884;7.956831659907231;4.484245319469402;0;7.093535489378656;2.8557147936879517;5.200165045586685;1.9593252352671906;Laguna
PH142700000;0.325;0.002;0.44;0.009;0;0.239;213.4;3.8;0.372;0.901;0.049;194;8.38256032977979;202802;2630.3;77;343.5;0.488;PH142700000;4.92540381576883;4.9386119877769;4.39028693125696;5.23810069583113;3.8109638403832133;5.541947318073786;5.664;6.1416361863842655;1.1466230060966924;1.7179651116033385;2.404538706437996;8.11093079378687;2.9332893911810705;0;6.794056667464461;7.941901416263526;1.2948756639790744;3.7647458074361717;Ifugao
PH140100000;0.303;0.005;0.328;0;0;0.301;241.8;4.2;0.676;0.962;0.053;204;3.89782716868469;241160;4188.4;57.2;265.7;0.526;PH140100000;4.82366690489507;4.82734366177382;3.84172589073382;5.59439931397926;3.545675683898632;6.304022225908111;5.056;2.9850563751293557;0.43407822609811214;1.8637140265711034;4.120583266424777;8.083549059508202;0.178259693784989;0;7.00681016852919;7.858047915451864;1.605971381368499;3.589648850654618;Abra
PH051600000;0.248;0.001;0.443;0.003;0;0.307;135;2.2;0.566;0.542;0.056;148;2.53723129777667;583313;2189;266.8;131.4;0.518;PH051600000;4.69041448502674;4.80289625660273;3.72921914780349;5.37343564438488;2.899020091286969;2.4657190907797357;5.184;4.131265340607495;4.499520159891474;1.9755008321457064;0.7734533173087261;8.446011566310688;2.077912556139689;0;7.202284738051999;6.8563653714272235;3.906740603632927;4.885099580159382;Camarines Norte
PH175200000;0.197;0;0.101;0.03;0.056;0.19;118.7;2.1;0.586;0.717;0.068;441;5.22475324592238;844059;4299.5;195.2;144.7;0.559;PH175200000;4.66631660069688;5.55838886932601;3.20688551693027;4.73575125969106;2.2975137797617853;2.158868041215128;4.528;3.9231155863642457;3.2826872150042985;2.394801968736282;0.8402207736712307;7.13376895941204;5.026995862854958;5.104993222946865;6.829272290404019;6.372961910287269;2.4767409335023034;4.11321209039949;Oriental Mindoro
PH034900000;0.166;0.038;0.247;0.026;0;0.222;99.9;2.1;0.78;0.91;0.039;378;1.75807902425684;2150074;5717.1;375.3;62;0.566;PH034900000;4.74656935167821;6.39266323186913;2.29253506269809;4.87601829499082;1.9296369559934727;2.28032430511694;4.416;1.9028317367955911;1.030285685821856;1.3703024266691797;6.772334782485796;8.03010713520684;6.825029903320798;0;7.038905318933468;5.143502618988237;4.618216487040492;3.304733468417311;Nueva Ecija
PH166800000;0.268;0.001;0.025;0.049;0.003;0.155;129.3;3.1;0.255;0.462;0.079;271;4.4744617982271;592250;4388.4;135.2;293.7;0.539;PH166800000;5.34233253360634;5.28456517894868;5.11895554875917;5.56083164390644;3.139148578407987;4.109278176445757;4.848;7.354962671864318;6.247237724763646;2.7642399181921413;0.724012806489466;5.728064225189827;7.341321181092363;3.138790357877687;6.708089652259706;7.812806244409624;2.7909603633877547;3.217825895938052;Surigao del Sur
PH174000000;0.132;0;0.249;0;0;0.175;137.7;2.2;0.622;0.842;0.049;51;2.17464534092896;234521;961;242.6;301.3;0.612;PH174000000;4.39347327995052;4.10727783156437;2.51714522609916;6.04778558208734;1.5322004572381691;2.3089957828936427;3.68;3.544507595040383;1.8261757119094344;1.7239338787703387;0;7.911061163861793;1.0132860280969407;0;6.79814084236889;8.164685100514705;4.145392072444934;4.766951872699709;Marinduque
PH023100000;0.183;0.022;0.563;0.009;0;0.274;131.9;2.1;0.723;0.906;0.03;733;4.51189345154201;1593566;10812;147.5;102.8;0.587;PH023100000;4.50968296722054;5.89664951846678;2.38340456806378;4.71345675441338;2.1273998658822766;2.441140184968806;4.08;2.494782371000237;1.0851094363675589;1.0444507899927795;6.2153316376937315;8.63301386312253;2.8157961581247783;0;7.142799059142029;6.018707764345916;2.8758618814755037;3.8289888082514123;Isabela
PH036900000;0.099;0.034;0.207;0.015;0;0.209;94.6;1.5;0.829;0.932;0.029;237;1.77540856870606;1334904;3145.7;423.6;38.7;0.673;PH036900000;4.33713195601061;6.10557197374451;1.41057416150849;4.65121507393647;1.1411937891010544;1.0659852693527025;2.704;1.3967241859359945;0.7811067857756229;1.0088960187293734;6.852020678674764;7.915077260063354;5.4223184199788195;0;7.014224928420758;4.508010375674606;4.615308344572198;3.7135457871408226;Tarlac
PH042100000;0.042;0.002;0.146;0;0.007;0.145;219.1;0.9;0.872;0.972;0.014;770;2.10694756382136;3654576;1288.9;2742.2;16.5;0.773;PH042100000;3.24028995111357;4.60502377783407;0.764514647072299;3.76556469207025;0.4565128095287797;0.7923961630569456;1.104;0.9438813483865496;0.3129922480995889;0.47916761666223;2.6203758937222283;7.510881706995778;0.19451316004561187;2.5425792295249994;6.635534481484731;3.062564869781381;4.421213317737645;3.181588068392558;Cavite
PH060600000;0.212;0;0.033;0.006;0;0.294;158.2;3;0.436;0.698;0.049;179;3.08051855969408;581071;2805.1;207.3;193.5;0.58;PH060600000;4.44872144008319;4.07366701703619;3.74074334223312;5.36331013234698;2.4743697362997294;4.0129553875516075;4.192;5.481987342241941;3.4983912098455408;1.738749059804357;0.26124097247268857;6.255955364277039;2.9086221300422737;0;7.221701907095372;7.23905396251271;3.521829055578214;4.507769414027873;Antique
PH087800000;0.298;0;0.169;0;0;0.196;123.8;4;0.511;0.749;0.042;52;2.68046523553131;171612;549.2;313;291.4;0.568;PH087800000;4.75028976366922;3.85003783766483;4.1192187731985;6.01186643404433;3.4963032750223535;6.087826026152017;4.384;4.695347547770456;2.9151178727701987;1.46996147221065;0;7.639194167608582;0;0;6.8265938912982325;8.098392565236376;3.5181225708863324;5.0465293108736144;Biliran
PH071200000;0.297;0;0.042;0.02;0;0.28;147.3;3.3;0.572;0.841;0.047;562;4.14141721733305;1313560;4063.8;323.6;88.1;0.574;PH071200000;4.0971133632028;4.07952533591463;3.51418108136889;4.58946165038261;3.480469480742608;4.657078473765949;4.288;4.0610803881648;1.8348623532859596;1.6607611387439103;0;6.177081530785985;3.4568564788030756;0;6.944702839579241;5.881653725005417;2.9395396883175593;4.140317906966459;Bohol
PH153600000;0.657;0.001;0.001;0.002;0;0.518;126;3.7;0.437;0.939;0.1;163;1.56245207202233;1043232;3549.6;290.7;107.3;0.217;PH153600000;5.10665787009559;2.79983208901774;6.64691216562849;5.16289173334833;7.736140227121214;5.414113064016441;10;5.469764917275155;0.6991380422706418;3.5308513472325007;1.9354235557816497;0.545260379418376;0.9584936477167533;0;7.104722743661287;5.366207150569635;5.251147701130736;3.82255069071904;Lanao del Sur
PH052000000;0.295;0;0.424;0.043;0;0.198;151.4;3.2;0.564;0.738;0.06;84;2.87395962661517;260964;1525.3;167.6;270.2;0.513;PH052000000;5.11455379527966;5.55164993928899;3.91817522779657;5.69708392645873;3.450922474151142;4.394828405450561;5.264;4.146350779507077;3.0340825158351272;2.129503832054111;0;8.399890541876891;7.269691325619077;0;6.896182554208719;7.751754559887189;3.271808873381318;4.589678337004901;Catanduanes
PH168500000;0.536;0;0.087;0;0.027;0.242;136.2;4.2;0.372;0.667;0.074;35;2.28073486850384;127152;826.5;154.4;264.7;null;PH168500000;5.24973780059975;4.22414841157069;5.27539493382132;6.03038982842773;6.3083831828169314;6.312382030955077;null;6.148021115461659;3.8638782611459828;2.6038814363467835;0;6.665747857946274;0;4.3301493511568925;6.60239914798612;7.854128884923392;3.37368237199526;5.041009411674417;Dinagat Islands
PH086000000;0.348;0;0.213;0.013;0;0.269;74.9;3.1;0.335;0.543;0.074;169;1.93470436820371;780481;5595.1;139.5;182.2;0.452;PH086000000;5.33213122932028;4.93037666834817;5.12763326298701;5.82029582035271;4.086688917801251;4.208212627853849;6.24;6.532254094462528;5.313730110006981;2.6006242520976275;0.07031622168462957;7.743271511317511;4.911795968781485;0.7278840386312618;6.94555669128361;7.095014311770637;3.970011427146043;3.30670898778565;Samar
PH021500000;0.183;0.04;0.673;0.001;0;0.329;125.3;2.3;0.67;0.876;0.027;426;3.54367474902445;1199320;9326.8;128.6;115.2;0.626;PH021500000;4.44124209926205;5.73621437877611;2.37290497777959;4.68746147308014;2.125928321907069;2.544848747623653;3.456;3.04388312247349;1.434953584679747;0.9649591341196632;6.735259519536906;8.713818716422283;0.38368597634294427;0;7.19352738100169;5.722429336947918;3.3582485671446936;4.137631214082379;Cagayan
PH150700000;0.378;0;0;0;0;0.231;29.2;2.8;0.211;0.565;0.089;58;1.26260702227195;459367;1387.2;330.9;171;0.419;PH150700000;5.16416317054465;1.95942240695478;5.96947476872412;6.56827766751016;4.435429314661623;4.101004207964438;6.768;7.8176022046282645;5.051637831948698;3.119693382721974;0;0;0;0;6.843638810938868;7.214573708347976;5.830330996129053;1.945374198130143;Basilan
PH175900000;0.307;0;0.093;0;0;0.227;134.5;4;0.508;0.621;0.062;208;6.18209514961695;292781;1367;214.4;330.2;0.508;PH175900000;4.76808562821386;3.6644004240952;4.57963444564337;5.8009252063084;3.5924137735762227;6.00118177067501;5.344;4.72649194251689;4.4036045186507575;2.1877026913978055;0.4850743586476737;6.978261662896725;0;0;6.708388692272716;8.318384808812711;1.8144775515066973;4.876184124930092;Romblon
PH166700000;0.352;0;0.088;0.02;0.002;0.182;115;3.9;0.486;0.621;0.07;143;2.59746685137542;485088;2067.3;234.7;158;0.478;PH166700000;4.94415393767594;4.93013355452131;4.79868065065565;5.00624668641464;4.135408481730735;5.86449056666007;5.824;4.953939578822075;4.40243980838425;2.4637469582983753;0;7.063085043147243;4.662389775765458;3.0236138606431857;6.813569932324597;6.205863665951312;3.4452147879213273;2.9622558201114586;Surigao del Norte
PH124700000;0.446;0.003;0.007;0;0;0.268;118.7;1.4;0.335;0.753;0.058;496;3.65842145015106;1355776;6450.6;210.1;154.1;0.454;PH124700000;4.37917932183203;3.59149177747928;4.39126488911138;5.02384120267504;5.237795700869474;0.858091602152568;6.208;6.528031182258724;2.8691794207672934;2.044626077455813;2.5470784053616473;4.9045505855063904;0.2007200581559453;0;7.107714142597533;6.362538128603823;3.3131073805232365;4.426245253759675;North Cotabato
PH097200000;0.487;0;0;0.011;0;0.331;104.1;2.9;0.248;0.511;0.106;353;3.44079897725217;1011393;6497.5;155.6;222.8;0.455;PH097200000;4.77763487737252;2.70272214014403;5.69664773350811;5.4788027551493;5.725815277665814;3.7471210498787317;6.192;7.432819539789827;5.680181524257349;3.7431160868729605;0;0;2.5631085354372485;0;7.219574599652486;7.273825891839257;3.3419093913494593;3.883135690478358;Zamboanga del Norte
PH084800000;0.483;0;0.294;0.081;0;0.287;112.2;3.4;0.358;0.442;0.072;191;2.86220763181573;632379;3496.2;179.7;363.9;0.432;PH084800000;5.84558039028795;5.52432921129702;5.65333320676924;6.2622621495857;5.675434000981229;4.841713592639857;6.56;6.283826103269823;6.4823955306226235;2.5207949373558276;0;7.99356779562661;7.357117380001386;0;7.027213111613108;8.373921730541026;3.57870150721313;5.3623340774106305;Northern Samar
PH101800000;0.408;0;0.012;0;0;0.238;156.6;4.2;0.536;0.873;0.066;61;6.21623454418047;88478;249;355.5;297;0.467;PH101800000;4.53631737614564;3.18935298309254;4.56127959464987;5.57853276885358;4.789240557375878;6.390809014670314;6;4.436523304546994;1.470883457384788;2.330926379725492;0;5.544279010592156;0;0;7.000789376778649;8.143971069974945;1.9201853211179298;4.480408910800854;Camiguin
PH175300000;0.238;0;0.003;0;0;0.18;136.2;1.5;0.282;0.461;0.072;392;3.54932794247002;1101617;14857.8;74;359;0.572;PH175300000;4.20643806642203;2.08754784029459;4.44838733631659;5.57327663843846;2.7783875615701294;0.9153017791119781;4.32;7.084111870575769;6.2655837922698545;2.5219178447886472;0;0.9531525646211382;0;0;6.568784694101593;7.622181181911947;3.334650220531738;3.2280908004158992;Palawan
PH126300000;0.284;0.001;0.001;0.003;0;0.148;88.5;1.4;0.527;0.796;0.042;294;1.95036131438431;1507413;4403.4;342;95.3;0.596;PH126300000;3.74113930503441;2.90353132043374;2.92601286046956;5.07060127770212;3.3248677933063084;0.8607528261995883;3.936;4.52942626148642;2.367296258444898;1.4787472891131652;1.9402760120189857;1.6704832944303134;1.4430858603512042;0;6.683409272722967;5.517312924615005;4.650724925272135;2.099559269430272;South Cotabato
PH086400000;0.371;0;0.08;0.002;0.005;0.23;113.8;4;0.574;0.838;0.045;143;3.05868405453468;421750;1725.9;244.6;150;0.533;PH086400000;4.64765676321991;4.54003447523695;4.04263316350776;5.22940571729267;4.357396337464004;6.0195281564908125;4.944;4.041842289145194;1.8783434784798911;1.5856457416699365;0;7.015217826722141;1.359920034752052;3.9627351247277076;6.959800661594238;6.864845306341152;3.1783640397135224;3.7448977729112953;Southern Leyte
PH082600000;0.432;0;0.209;0.085;0.006;0.324;133.4;3.5;0.382;0.637;0.066;167;3.21089134343694;467160;4395.5;105;302;0.389;PH082600000;5.71249284113879;5.79955471414759;5.40612642914545;5.84522938053867;5.071708944036001;5.306336158917715;7.248;6.043456332500771;4.209006349615505;2.3229473811789307;0;7.855898178764788;5.958277986218127;3.3246459396700123;7.26764809435932;7.9908211032100525;3.1023176839874145;3.8521857157798074;Eastern Samar
PH128000000;0.46;0;0.005;0;0;0.112;150.3;1.1;0.246;0.504;0.072;159;2.94356137603164;540162;3284.1;164.6;363.9;0.438;PH128000000;4.72373796117011;2.67164194636595;5.09095057360952;5.95998059355086;5.412933384941782;0.1651171315272085;6.464;7.45830072107189;5.765534578836456;2.5380101801488766;0;3.3732572245287153;0.9786550663212259;0;6.380165512006462;8.253245032321423;3.604201934161584;4.656681446857576;Sarangani
PH037700000;0.129;0.005;0.456;0.024;0;0.318;181.8;2.6;0.565;0.825;0.042;121;5.64534189310242;214336;3181.2;67.4;372.6;0.551;PH037700000;5.00161129709794;6.00461412870307;2.96488908833936;5.57723979635899;1.4922471447804786;3.243458868318901;4.656;4.142118710460006;2.030756883277235;1.4833521883766019;3.0197087468283548;8.464664326320333;7.034190807504537;0;7.2603392188349165;8.263849914839097;2.425752413095944;4.084238245956963;Aurora
PH072200000;0.172;0;0.041;0;0;0.2;57.7;2;0.586;0.911;0.033;1211;2.61421880299001;4632359;4986.6;926.9;66;0.636;PH072200000;3.65435177967166;3.40188212496314;2.41124664014742;4.8797386392226;2.0056766379402093;2.1127127668645715;3.296;3.923333363727556;1.0219806088027301;1.1558188195836303;0;6.3954525263779445;0;0;6.842828956898745;5.172441145751071;4.218489615708258;2.284867286019755;Cebu
PH103500000;0.412;0.001;0;0.009;0;0.195;81;2.7;0.396;0.786;0.068;381;3.73891206490987;1019013;2887.3;353.1;109.2;0.55;PH103500000;4.07993866296695;2.8857274838967;4.24124324704975;4.83344318437349;4.840527035799701;3.471900751020841;4.672;5.892338938963467;2.4777206548151454;2.403716276242616;2.022931078347729;0;2.2912220604970064;0;6.8332894365722705;5.617106370258583;3.495441218179122;3.4470096077539965;Lanao del Norte
PH153800000;0.593;0.012;0.001;0.007;0;0.232;44.9;2.3;0.269;0.532;0.119;270;1.94733960953677;1386507;4819.1;289.1;83.7;0.309;PH153800000;5.43674930266907;3.74707610845342;6.59737987252856;5.40170420926678;6.978507742347876;2.9858716905143643;8.528;7.214994706323636;5.432769654124501;4.20113206358461;4.4783783783884905;0.6787439004893171;3.1922801012620488;0;6.916562339749199;5.47728718601312;4.492270496227992;3.8331540870689116;Maguindanao
PH041000000;0.102;0;0.165;0.02;0.014;0.157;198;1.7;0.849;0.958;0.032;590;2.18977966733907;2694335;3088.8;870.8;47.2;0.668;PH041000000;4.0424598715291;5.67905590124107;1.4209763259234;4.326437705956;1.1666431440861296;1.3332239680663318;2.784;1.1882863014960545;0.47599260633842333;1.128940097241586;1.0553659855699924;7.65497485225531;6.847736148838059;2.952518211666711;6.733992783863306;4.900784694238809;4.3250277444329;2.163739557670052;Batangas
